Date,IBM
2013-01-02,123.80233764648438
2013-01-03,123.12136840820312
2013-01-04,122.3143081665039
2013-01-07,121.77838134765624
2013-01-08,121.6081085205078
2013-01-09,121.26133728027344
2013-01-10,121.6144561767578
2013-01-11,122.60435485839844
2013-01-14,121.45049285888672
2013-01-15,121.37484741210938
2013-01-16,121.43153381347656
2013-01-17,122.0998992919922
2013-01-18,122.6169662475586
2013-01-22,123.63209533691406
2013-01-23,129.07974243164062
2013-01-24,128.8905487060547
2013-01-25,129.23739624023438
2013-01-28,129.21221923828125
2013-01-29,128.56272888183594
2013-01-30,128.32313537597656
2013-01-31,128.03939819335938
2013-02-01,129.3697967529297
2013-02-04,128.49337768554688
2013-02-05,127.86284637451172
2013-02-06,127.28032684326172
2013-02-07,126.46990203857422
2013-02-08,127.69823455810548
2013-02-11,126.7358169555664
2013-02-12,126.6598663330078
2013-02-13,126.6915054321289
2013-02-14,126.41287231445312
2013-02-15,127.25503540039062
2013-02-19,126.83708953857422
2013-02-20,126.19762420654295
2013-02-21,125.57709503173828
2013-02-22,127.32467651367188
2013-02-25,125.05793762207033
2013-02-26,126.08995819091795
2013-02-27,128.10986328125
2013-02-28,127.16006469726562
2013-03-01,128.47703552246094
2013-03-04,129.92066955566406
2013-03-05,130.7691192626953
2013-03-06,131.9404754638672
2013-03-07,132.5989990234375
2013-03-08,133.206787109375
2013-03-11,133.016845703125
2013-03-12,133.31443786621094
2013-03-13,134.27059936523438
2013-03-14,136.63861083984375
2013-03-15,136.08143615722656
2013-03-18,134.9987335205078
2013-03-19,135.14437866210938
2013-03-20,136.1701202392578
2013-03-21,134.39723205566406
2013-03-22,134.2832489013672
2013-03-25,133.43479919433594
2013-03-26,134.46046447753906
2013-03-27,133.52975463867188
2013-03-28,135.05569458007812
2013-04-01,134.47315979003906
2013-04-02,135.72686767578125
2013-04-03,134.65049743652344
2013-04-04,133.79568481445312
2013-04-05,132.59266662597656
2013-04-08,132.53565979003906
2013-04-09,132.4723358154297
2013-04-10,134.23252868652344
2013-04-11,134.8151397705078
2013-04-12,133.8400421142578
2013-04-15,132.49766540527344
2013-04-16,134.23252868652344
2013-04-17,132.75729370117188
2013-04-18,131.1616973876953
2013-04-19,120.30279541015624
2013-04-22,118.92881774902344
2013-04-23,121.32220458984376
2013-04-24,121.3855209350586
2013-04-25,122.80382537841795
2013-04-26,123.03174591064452
2013-04-29,126.09630584716795
2013-04-30,128.2427520751953
2013-05-01,126.40023803710938
2013-05-02,128.1477508544922
2013-05-03,129.49008178710938
2013-05-06,128.39471435546875
2013-05-07,128.93292236328125
2013-05-08,130.29429626464844
2013-05-09,129.2891845703125
2013-05-10,130.07162475585938
2013-05-13,128.79933166503906
2013-05-14,129.2700653076172
2013-05-15,129.34007263183594
2013-05-16,130.21157836914062
2013-05-17,132.59713745117188
2013-05-20,132.062744140625
2013-05-21,132.73065185546875
2013-05-22,131.67466735839844
2013-05-23,131.14669799804688
2013-05-24,130.86676025390625
2013-05-28,132.17723083496094
2013-05-29,132.26629638671875
2013-05-30,133.18235778808594
2013-05-31,132.32984924316406
2013-06-03,132.92152404785156
2013-06-04,131.16574096679688
2013-06-05,128.97103881835938
2013-06-06,129.6454315185547
2013-06-07,131.26754760742188
2013-06-10,130.4215087890625
2013-06-11,129.75994873046875
2013-06-12,127.99141693115234
2013-06-13,129.6262969970703
2013-06-14,128.6275634765625
2013-06-17,129.1619110107422
2013-06-18,130.3260498046875
2013-06-19,128.46218872070312
2013-06-20,125.54229736328124
2013-06-21,124.3399658203125
2013-06-24,123.11856079101562
2013-06-25,124.03462982177734
2013-06-26,123.95831298828124
2013-06-27,124.46086883544922
2013-06-28,121.57275390625
2013-07-01,121.68096923828124
2013-07-02,121.82088470458984
2013-07-03,122.9341278076172
2013-07-05,124.00282287597656
2013-07-08,124.03462982177734
2013-07-09,121.69363403320312
2013-07-10,122.29798126220705
2013-07-11,122.64784240722656
2013-07-12,122.18346405029295
2013-07-15,123.41124725341795
2013-07-16,123.31583404541016
2013-07-17,123.76112365722656
2013-07-18,125.94939422607422
2013-07-19,123.11856079101562
2013-07-22,123.46849822998048
2013-07-23,124.03462982177734
2013-07-24,125.071533203125
2013-07-25,125.45960235595705
2013-07-26,125.54229736328124
2013-07-29,124.81710815429688
2013-07-30,124.6898956298828
2013-07-31,124.0727996826172
2013-08-01,124.56268310546876
2013-08-02,124.1491470336914
2013-08-05,124.36544036865234
2013-08-06,121.49647521972656
2013-08-07,120.5502471923828
