Date,AAPL
2013-01-02,16.813858032226562
2013-01-03,16.601633071899414
2013-01-04,16.139198303222656
2013-01-07,16.04427146911621
2013-01-08,16.087444305419922
2013-01-09,15.83601188659668
2013-01-10,16.032316207885742
2013-01-11,15.934016227722168
2013-01-14,15.365923881530762
2013-01-15,14.881135940551758
2013-01-16,15.4988374710083
2013-01-17,15.394400596618652
2013-01-18,15.31233024597168
2013-01-22,15.458414077758787
2013-01-23,15.741387367248535
2013-01-24,13.796415328979492
2013-01-25,13.471179962158203
2013-01-28,13.77589511871338
2013-01-29,14.034361839294434
2013-01-30,13.990267753601074
2013-01-31,13.94922924041748
2013-02-01,13.891962051391602
2013-02-04,13.545903205871582
2013-02-05,14.021198272705078
2013-02-06,14.00619125366211
2013-02-07,14.422648429870604
2013-02-08,14.630877494812012
2013-02-11,14.783352851867676
2013-02-12,14.412793159484863
2013-02-13,14.385376930236816
2013-02-14,14.372441291809082
2013-02-15,14.174375534057615
2013-02-19,14.16913890838623
2013-02-20,13.825993537902832
2013-02-21,13.7400541305542
2013-02-22,13.886369705200195
2013-02-25,13.639633178710938
2013-02-26,13.82968807220459
2013-02-27,13.6941556930542
2013-02-28,13.596510887145996
2013-03-01,13.25983428955078
2013-03-04,12.938864707946776
2013-03-05,13.280472755432127
2013-03-06,13.111666679382324
2013-03-07,13.263216972351074
2013-03-08,13.298337936401367
2013-03-11,13.487777709960938
2013-03-12,13.19699478149414
2013-03-13,13.194530487060549
2013-03-14,13.322362899780272
2013-03-15,13.666125297546388
2013-03-18,14.037609100341797
2013-03-19,13.999722480773926
2013-03-20,13.925488471984863
2013-03-21,13.945507049560549
2013-03-22,14.228281021118164
2013-03-25,14.279725074768066
2013-03-26,14.204562187194824
2013-03-27,13.925488471984863
2013-03-28,13.635321617126465
2013-04-01,13.211779594421388
2013-04-02,13.238884925842283
2013-04-03,13.30665397644043
2013-04-04,13.175124168395996
2013-04-05,13.035893440246582
2013-04-08,13.128610610961914
2013-04-09,13.15232753753662
2013-04-10,13.420621871948242
2013-04-11,13.378729820251465
2013-04-12,13.239192008972168
2013-04-15,12.932700157165527
2013-04-16,13.129534721374512
2013-04-17,12.40750789642334
2013-04-18,12.076375961303713
2013-04-19,12.029555320739746
2013-04-22,12.280292510986328
2013-04-23,12.510086059570312
2013-04-24,12.4894437789917
2013-04-25,12.579389572143556
2013-04-26,12.85107135772705
2013-04-29,13.249052047729492
2013-04-30,13.63901710510254
2013-05-01,13.531513214111328
2013-05-02,13.723421096801758
2013-05-03,13.860799789428713
2013-05-06,14.191319465637209
2013-05-07,14.12817096710205
2013-05-08,14.287732124328612
2013-05-09,14.16308307647705
2013-05-10,14.045258522033691
2013-05-13,14.100137710571287
2013-05-14,13.762784957885742
2013-05-15,13.297365188598633
2013-05-16,13.4750394821167
2013-05-17,13.434109687805176
2013-05-20,13.733949661254885
2013-05-21,13.632551193237305
2013-05-22,13.684956550598145
2013-05-23,13.70945167541504
2013-05-24,13.802786827087402
2013-05-28,13.68774700164795
2013-05-29,13.796582221984863
2013-05-30,14.002158164978027
2013-05-31,13.94479751586914
2013-06-03,13.975492477416992
2013-06-04,13.931771278381348
2013-06-05,13.801543235778809
2013-06-06,13.595346450805664
2013-06-07,13.69921875
2013-06-10,13.608680725097656
2013-06-11,13.568681716918944
2013-06-12,13.40092945098877
2013-06-13,13.517828941345217
2013-06-14,13.334576606750488
2013-06-17,13.395038604736328
2013-06-18,13.387907028198242
2013-06-19,13.115976333618164
2013-06-20,12.924975395202637
2013-06-21,12.821410179138184
2013-06-24,12.481576919555664
2013-06-25,12.48436450958252
2013-06-26,12.342970848083496
2013-06-27,12.20995044708252
2013-06-28,12.295220375061035
2013-07-01,12.688698768615724
2013-07-02,12.976136207580566
2013-07-03,13.047761917114258
2013-07-05,12.942956924438477
2013-07-08,12.869471549987791
2013-07-09,13.095824241638184
2013-07-10,13.045588493347168
2013-07-11,13.249000549316406
2013-07-12,13.224811553955078
2013-07-15,13.253647804260254
2013-07-16,13.339231491088867
2013-07-17,13.342639923095703
2013-07-18,13.387598991394045
2013-07-19,13.176443099975586
2013-07-22,13.218610763549805
2013-07-23,12.991637229919434
2013-07-24,13.658910751342772
2013-07-25,13.596585273742676
2013-07-26,13.67379379272461
2013-07-29,13.884641647338867
2013-07-30,14.056107521057127
2013-07-31,14.031614303588867
2013-08-01,14.160297393798828
2013-08-02,14.341997146606444
2013-08-05,14.556251525878906
2013-08-06,14.426019668579102
2013-08-07,14.417649269104004
2013-08-08,14.388938903808594
2013-08-09,14.18418788909912
2013-08-12,14.587132453918455
2013-08-13,15.28034496307373
2013-08-14,15.559067726135254
2013-08-15,15.54065227508545
2013-08-16,15.678606986999512
2013-08-19,15.847467422485352
2013-08-20,15.639275550842283
2013-08-21,15.679545402526855
2013-08-22,15.69827651977539
2013-08-23,15.637723922729492
2013-08-26,15.69858741760254
2013-08-27,15.24975872039795
2013-08-28,15.321857452392578
2013-08-29,15.346823692321776
2013-08-30,15.207001686096191
2013-09-03,15.249446868896484
2013-09-04,15.56499481201172
2013-09-05,15.458246231079102
2013-09-06,15.550325393676758
2013-09-09,15.798457145690918
2013-09-10,15.438586235046388
2013-09-11,14.598058700561523
2013-09-12,14.753494262695312
2013-09-13,14.510351181030272
2013-09-16,14.049042701721191
2013-09-17,14.211338996887209
2013-09-18,14.503482818603516
2013-09-19,14.741318702697754
2013-09-20,14.58869457244873
2013-09-23,15.313745498657228
2013-09-24,15.265679359436035
2013-09-25,15.029403686523438
2013-09-26,15.175786972045898
