Date,DPZ
2013-01-02,40.78281784057617
2013-01-03,40.00266647338867
2013-01-04,40.63039016723633
2013-01-07,40.791770935058594
2013-01-08,40.91732025146485
2013-01-09,40.72003936767578
2013-01-10,40.316497802734375
2013-01-11,40.49586486816406
2013-01-14,40.522762298583984
2013-01-15,40.42412567138672
2013-01-16,40.30754852294922
2013-01-17,40.76487350463867
2013-01-18,41.29393768310547
2013-01-22,42.092018127441406
2013-01-23,41.8409309387207
2013-01-24,41.831974029541016
2013-01-25,41.607791900634766
2013-01-28,41.42845916748047
2013-01-29,41.67057037353516
2013-01-30,41.58089065551758
2013-01-31,41.760231018066406
2013-02-01,42.8363037109375
2013-02-04,41.85887908935547
2013-02-05,41.894752502441406
2013-02-06,41.930606842041016
2013-02-07,41.69745635986328
2013-02-08,41.90371322631836
2013-02-11,41.97544479370117
2013-02-12,41.72436141967773
2013-02-13,40.77384185791016
2013-02-14,40.16408157348633
2013-02-15,40.68416213989258
2013-02-19,40.76487350463867
2013-02-20,40.316497802734375
2013-02-21,40.01163101196289
2013-02-22,41.31186676025391
2013-02-25,40.49586486816406
2013-02-26,41.24910354614258
2013-02-27,41.99337768554688
2013-02-28,42.70179748535156
2013-03-01,43.2846565246582
2013-03-04,43.60747146606445
2013-03-05,44.4952278137207
2013-03-06,44.65663909912109
2013-03-07,44.53109359741211
2013-03-08,44.60283660888672
2013-03-11,44.72838592529297
2013-03-12,44.54903411865234
2013-03-13,44.85514450073242
2013-03-14,44.981201171875
2013-03-15,44.85514450073242
2013-03-18,44.981201171875
2013-03-19,45.28731155395508
2013-03-20,45.863548278808594
2013-03-21,45.77349853515625
2013-03-22,46.0886116027832
2013-03-25,46.01658630371094
2013-03-26,46.079627990722656
2013-03-27,46.079627990722656
2013-03-28,46.31371688842773
2013-04-01,45.77349853515625
2013-04-02,45.09824752807617
2013-04-03,44.70209503173828
2013-04-04,46.115631103515625
2013-04-05,45.51241683959961
2013-04-08,46.034610748291016
2013-04-09,45.62044906616211
2013-04-10,46.592811584472656
2013-04-11,46.91695022583008
2013-04-12,46.691856384277344
2013-04-15,45.368350982666016
2013-04-16,45.78250503540039
2013-04-17,44.79212951660156
2013-04-18,44.92717742919922
2013-04-19,45.53940963745117
2013-04-22,45.80951690673828
2013-04-23,45.92656326293945
2013-04-24,46.3046989440918
2013-04-25,46.74587631225586
2013-04-26,47.1600341796875
2013-04-29,47.67322540283203
2013-04-30,49.699005126953125
2013-05-01,49.19481658935547
2013-05-02,49.96010208129883
2013-05-03,50.40127182006836
2013-05-06,51.13054656982422
2013-05-07,52.03990173339844
2013-05-08,52.26497650146485
2013-05-09,51.91383361816406
2013-05-10,52.23797225952149
2013-05-13,52.44504928588867
2013-05-14,53.12030792236328
2013-05-15,51.89583969116211
2013-05-16,51.28360366821289
2013-05-17,51.83281707763672
2013-05-20,51.067527770996094
2013-05-21,51.27460479736328
2013-05-22,50.96849060058594
2013-05-23,53.309383392333984
2013-05-24,52.86821365356445
2013-05-28,53.71452331542969
2013-05-29,53.37239837646485
2013-05-30,53.831581115722656
2013-05-31,53.363407135009766
2013-06-03,53.76855850219727
2013-06-04,54.18272018432617
2013-06-05,52.53507995605469
2013-06-06,53.52547073364258
2013-06-07,54.49782943725586
2013-06-10,54.66890335083008
2013-06-11,53.84057235717773
2013-06-12,53.68701553344727
2013-06-13,54.21999740600586
2013-06-14,53.83155822753906
2013-06-17,53.79541397094727
2013-06-18,54.59941101074219
2013-06-19,53.9941520690918
2013-06-20,51.97061538696289
2013-06-21,51.94351577758789
2013-06-24,51.50086212158203
2013-06-25,52.00675964355469
2013-06-26,52.11515426635742
2013-06-27,53.11789321899414
2013-06-28,52.53070831298828
2013-07-01,54.12063217163086
2013-07-02,54.328407287597656
2013-07-03,54.40970230102539
2013-07-05,55.11432647705078
2013-07-08,55.26789093017578
2013-07-09,56.135135650634766
2013-07-10,56.2254638671875
2013-07-11,56.91201400756836
2013-07-12,57.21014022827149
2013-07-15,57.46306991577149
2013-07-16,57.05657196044922
2013-07-17,56.95720291137695
2013-07-18,57.77022171020508
2013-07-19,57.435977935791016
2013-07-22,57.46306991577149
2013-07-23,53.68701553344727
2013-07-24,55.11432647705078
2013-07-25,55.55698394775391
2013-07-26,56.33387756347656
2013-07-29,55.90026473999024
2013-07-30,56.1261100769043
2013-07-31,56.53261947631836
2013-08-01,57.64375686645508
2013-08-02,57.04752349853516
2013-08-05,57.81539916992188
2013-08-06,56.86685562133789
2013-08-07,56.46035003662109
2013-08-08,56.64101028442383
2013-08-09,56.70425033569336
2013-08-12,56.3790397644043
2013-08-13,56.117069244384766
2013-08-14,56.451316833496094
2013-08-15,55.64731216430664
2013-08-16,55.52083587646485
2013-08-19,55.13240432739258
2013-08-20,55.92735290527344
2013-08-21,55.55698394775391
2013-08-22,56.5235710144043
2013-08-23,56.207401275634766
2013-08-26,55.89122772216797
2013-08-27,55.24982833862305
2013-08-28,55.8279914855957
2013-08-29,56.053829193115234
2013-08-30,55.50276565551758
2013-09-03,55.52083587646485
2013-09-04,56.1261100769043
2013-09-05,56.089969635009766
2013-09-06,55.629241943359375
2013-09-09,56.94815826416016
2013-09-10,58.4477424621582
2013-09-11,58.75584030151367
2013-09-12,59.12736511230469
2013-09-13,59.91573333740234
2013-09-16,60.04261016845703
2013-09-17,60.5863037109375
2013-09-18,60.96688461303711
2013-09-19,61.27500915527344
2013-09-20,60.477569580078125
2013-09-23,60.69505310058594
2013-09-24,60.99408721923828
2013-09-25,60.61347961425781
2013-09-26,61.30217361450195
