Date,V
2013-01-02,36.0857048034668
2013-01-03,36.113563537597656
2013-01-04,36.40850067138672
2013-01-07,36.66861724853516
2013-01-08,37.01000595092773
2013-01-09,37.57435989379883
2013-01-10,37.27709197998047
2013-01-11,37.42804718017578
2013-01-14,37.3095932006836
2013-01-15,37.26315689086914
2013-01-16,37.20509719848633
2013-01-17,37.13077545166016
2013-01-18,36.756874084472656
2013-01-22,36.93801498413086
2013-01-23,36.93801498413086
2013-01-24,37.05647659301758
2013-01-25,37.12149429321289
2013-01-28,36.31097030639648
2013-01-29,36.38296127319336
2013-01-30,35.999755859375
2013-01-31,36.67324447631836
2013-02-01,36.824214935302734
2013-02-04,36.380638122558594
2013-02-05,37.04948806762695
2013-02-06,37.349082946777344
2013-02-07,36.47585678100586
2013-02-08,36.6477165222168
2013-02-11,36.30632019042969
2013-02-12,36.415470123291016
2013-02-13,36.01983642578125
2013-02-14,36.30143356323242
2013-02-15,36.76922607421875
2013-02-19,36.68079376220703
2013-02-20,36.17110061645508
2013-02-21,36.6412353515625
2013-02-22,37.10434341430664
2013-02-25,36.28047943115234
2013-02-26,36.73199081420898
2013-02-27,37.20675277709961
2013-02-28,36.92049026489258
2013-03-01,36.79018020629883
2013-03-04,37.12064743041992
2013-03-05,37.30451202392578
2013-03-06,37.48370742797852
2013-03-07,37.35570907592773
2013-03-08,37.3929443359375
2013-03-11,37.51163482666016
2013-03-12,37.190460205078125
2013-03-13,37.09039306640625
2013-03-14,37.39061737060547
2013-03-15,36.899559020996094
2013-03-18,36.78784942626953
2013-03-19,36.30610275268555
2013-03-20,37.08110809326172
2013-03-21,36.72499847412109
2013-03-22,37.257957458496094
2013-03-25,38.167945861816406
2013-03-26,38.97319030761719
2013-03-27,39.2524642944336
2013-03-28,39.5270881652832
2013-04-01,38.94759750366211
2013-04-02,39.08723068237305
2013-04-03,38.34249877929688
2013-04-04,38.745113372802734
2013-04-05,38.43790054321289
2013-04-08,38.70089340209961
2013-04-09,38.34249877929688
2013-04-10,38.863807678222656
2013-04-11,39.01042556762695
2013-04-12,38.57521438598633
2013-04-15,37.53723907470703
2013-04-16,38.33319091796875
2013-04-17,37.75600814819336
2013-04-18,37.565162658691406
2013-04-19,38.15863800048828
2013-04-22,38.05854797363281
2013-04-23,38.55427169799805
2013-04-24,38.88010025024414
2013-04-25,39.27574157714844
2013-04-26,38.919654846191406
2013-04-29,39.07559585571289
2013-04-30,39.20592880249024
2013-05-01,38.6380500793457
2013-05-02,40.821083068847656
2013-05-03,41.78459548950195
2013-05-06,41.63330841064453
2013-05-07,41.84276580810547
2013-05-08,41.719425201416016
2013-05-09,41.56117630004883
2013-05-10,41.60073852539063
2013-05-13,41.642608642578125
2013-05-14,41.96613693237305
2013-05-15,42.37881851196289
2013-05-16,41.92182540893555
2013-05-17,43.03398132324219
2013-05-20,42.34383010864258
2013-05-21,42.329837799072266
2013-05-22,42.001094818115234
2013-05-23,41.52545928955078
2013-05-24,42.07337188720703
2013-05-28,41.97544097900391
2013-05-29,41.5347785949707
2013-05-30,42.2086067199707
2013-05-31,41.5347785949707
2013-06-03,42.01275253295898
2013-06-04,42.01508712768555
2013-06-05,41.320274353027344
2013-06-06,41.81690216064453
2013-06-07,41.9544677734375
2013-06-10,42.5117073059082
2013-06-11,41.88917922973633
2013-06-12,41.770263671875
2013-06-13,42.49306869506836
2013-06-14,42.18529510498047
2013-06-17,42.516361236572266
2013-06-18,42.903411865234375
2013-06-19,42.581661224365234
2013-06-20,41.60938262939453
2013-06-21,41.85187149047852
2013-06-24,41.56509399414063
2013-06-25,42.078033447265625
2013-06-26,42.58631896972656
2013-06-27,42.96170425415039
2013-06-28,42.6096305847168
2013-07-01,43.18553924560547
2013-07-02,43.19020462036133
2013-07-03,43.6098861694336
2013-07-05,44.48421478271485
2013-07-08,43.8570442199707
2013-07-09,43.64717864990234
2013-07-10,43.53059768676758
2013-07-11,44.29069900512695
2013-07-12,44.4679069519043
2013-07-15,44.35831451416016
2013-07-16,44.15546798706055
2013-07-17,44.216102600097656
2013-07-18,44.535526275634766
2013-07-19,44.281368255615234
2013-07-22,44.5844955444336
2013-07-23,43.96894454956055
2013-07-24,43.542266845703125
2013-07-25,45.37489318847656
2013-07-26,45.0461311340332
2013-07-29,44.75936126708984
2013-07-30,44.635772705078125
2013-07-31,41.27130508422852
2013-08-01,41.77494430541992
2013-08-02,42.90108489990234
2013-08-05,43.02699661254883
2013-08-06,42.64226913452149
2013-08-07,42.29253768920898
2013-08-08,42.15031051635742
2013-08-09,41.92415237426758
2013-08-12,41.91249084472656
2013-08-13,41.788909912109375
2013-08-14,41.66044235229492
2013-08-15,40.62798309326172
2013-08-16,40.44112396240234
2013-08-19,40.87325286865234
2013-08-20,40.46213150024414
2013-08-21,41.66978073120117
2013-08-22,41.793582916259766
2013-08-23,41.835636138916016
2013-08-26,40.87791442871094
2013-08-27,40.68404006958008
2013-08-28,40.92698287963867
2013-08-29,40.96434783935547
2013-08-30,40.7424430847168
2013-09-03,41.34978103637695
2013-09-04,41.15589141845703
2013-09-05,41.16057968139648
2013-09-06,41.26801300048828
2013-09-09,41.70716857910156
2013-09-10,43.11802673339844
2013-09-11,43.519805908203125
2013-09-12,43.22782897949219
2013-09-13,44.14815902709961
2013-09-16,44.236915588378906
2013-09-17,44.75548553466797
2013-09-18,45.23434829711914
2013-09-19,45.48194885253906
2013-09-20,46.4443359375
2013-09-23,45.83932876586914
2013-09-24,45.16193389892578
2013-09-25,44.74614715576172
2013-09-26,45.21333312988281
