Date,TSCO
2013-01-02,40.14188766479492
2013-01-03,40.1069450378418
2013-01-04,40.05448913574219
2013-01-07,39.49064636230469
2013-01-08,40.15064239501953
2013-01-09,40.82374954223633
2013-01-10,40.66639709472656
2013-01-11,39.9889030456543
2013-01-14,40.06759262084961
2013-01-15,40.4478645324707
2013-01-16,40.627079010009766
2013-01-17,41.081634521484375
2013-01-18,41.10348510742188
2013-01-22,41.10784912109375
2013-01-23,40.33858108520508
2013-01-24,40.89805221557617
2013-01-25,41.89897918701172
2013-01-28,41.40945816040039
2013-01-29,41.081634521484375
2013-01-30,41.27832794189453
2013-01-31,45.31261444091797
2013-02-01,45.43938446044922
2013-02-04,44.652618408203125
2013-02-05,45.255802154541016
2013-02-06,45.01539993286133
2013-02-07,45.0416374206543
2013-02-08,45.47433471679688
2013-02-11,45.1071891784668
2013-02-12,45.00228500366211
2013-02-13,45.06346893310547
2013-02-14,45.34756851196289
2013-02-15,45.3563117980957
2013-02-19,45.21209716796875
2013-02-20,44.3903694152832
2013-02-21,44.18452453613281
2013-02-22,44.342193603515625
2013-02-25,44.35971832275391
2013-02-26,44.898380279541016
2013-02-27,45.22247314453125
2013-02-28,45.54217529296875
2013-03-01,45.14801406860352
2013-03-04,45.40640640258789
2013-03-05,45.67354202270508
2013-03-06,45.64727783203125
2013-03-07,45.46772766113281
2013-03-08,45.853126525878906
2013-03-11,45.56844711303711
2013-03-12,45.073577880859375
2013-03-13,45.01662063598633
2013-03-14,44.88525390625
2013-03-15,44.23707962036133
2013-03-18,44.33781051635742
2013-03-19,44.05314636230469
2013-03-20,44.81955337524414
2013-03-21,44.61809921264648
2013-03-22,44.71882629394531
2013-03-25,44.43853759765625
2013-03-26,44.63124465942383
2013-03-27,45.17429733276367
2013-03-28,45.60348129272461
2013-04-01,45.01225662231445
2013-04-02,44.93778991699219
2013-04-03,44.53050994873047
2013-04-04,45.36260986328125
2013-04-05,46.435577392578125
2013-04-08,47.583003997802734
2013-04-09,47.48666000366211
2013-04-10,47.58740615844727
2013-04-11,47.6136589050293
2013-04-12,47.01806640625
2013-04-15,45.90128326416016
2013-04-16,46.30419158935547
2013-04-17,46.25602722167969
2013-04-18,46.51441192626953
2013-04-19,47.324615478515625
2013-04-22,47.99467086791992
2013-04-23,48.734806060791016
2013-04-24,49.072025299072266
2013-04-25,48.542110443115234
2013-04-26,47.5173225402832
2013-04-29,47.14068222045898
2013-04-30,46.93484878540039
2013-05-01,46.1290283203125
2013-05-02,47.4778938293457
2013-05-03,48.498313903808594
2013-05-06,48.99757385253906
2013-05-07,49.5625228881836
2013-05-08,48.73919677734375
2013-05-09,48.83552932739258
2013-05-10,49.8209114074707
2013-05-13,49.93477249145508
2013-05-14,50.21068954467773
2013-05-15,50.33769989013672
2013-05-16,49.56954574584961
2013-05-17,49.42470169067383
2013-05-20,49.26229095458984
2013-05-21,50.19723510742188
2013-05-22,48.8233528137207
2013-05-23,48.81017303466797
2013-05-24,48.81017303466797
2013-05-28,49.13939666748047
2013-05-29,48.998931884765625
2013-05-30,49.70122528076172
2013-05-31,49.15254974365234
2013-06-03,48.37125015258789
2013-06-04,47.67770767211914
2013-06-05,48.2790641784668
2013-06-06,49.2183952331543
2013-06-07,49.82851791381836
2013-06-10,49.93387222290039
2013-06-11,50.19723510742188
2013-06-12,49.464202880859375
2013-06-13,50.25868606567383
2013-06-14,50.33769607543945
2013-06-17,50.71080780029297
2013-06-18,51.62379837036133
2013-06-19,50.92148971557617
2013-06-20,49.39836120605469
2013-06-21,48.37561798095703
2013-06-24,48.80580139160156
2013-06-25,49.14816284179688
2013-06-26,49.5475959777832
2013-06-27,51.13217544555664
2013-06-28,51.597450256347656
2013-07-01,51.083892822265625
2013-07-02,50.87319946289063
2013-07-03,51.04438400268555
2013-07-05,52.15052795410156
2013-07-08,52.29535675048828
2013-07-09,52.74309158325195
2013-07-10,53.6253547668457
2013-07-11,53.94578552246094
2013-07-12,53.99407958984375
2013-07-15,53.80093002319336
2013-07-16,52.97134017944336
2013-07-17,52.277809143066406
2013-07-18,53.002071380615234
2013-07-19,53.76580047607422
2013-07-22,53.58146667480469
2013-07-23,53.58585357666016
2013-07-24,53.23030853271485
2013-07-25,51.93981552124024
2013-07-26,52.31293869018555
2013-07-29,52.39632415771485
2013-07-30,52.73430633544922
2013-07-31,53.17764663696289
2013-08-01,53.97651290893555
2013-08-02,54.12574768066406
2013-08-05,53.83164978027344
2013-08-06,53.6034049987793
2013-08-07,52.589454650878906
2013-08-08,53.335670471191406
2013-08-09,53.71315383911133
2013-08-12,52.7738151550293
2013-08-13,53.52001190185547
2013-08-14,52.81771087646485
2013-08-15,51.379276275634766
2013-08-16,51.36167526245117
2013-08-19,51.78837966918945
2013-08-20,52.94527053833008
2013-08-21,51.99071502685547
2013-08-22,53.3543815612793
2013-08-23,53.22680282592773
2013-08-26,53.46874237060547
2013-08-27,52.94087600708008
2013-08-28,52.69893264770508
2013-08-29,54.449703216552734
2013-08-30,53.82946395874024
2013-09-03,53.43355941772461
2013-09-04,54.42332077026367
2013-09-05,54.85880279541016
2013-09-06,54.39691162109375
2013-09-09,55.795780181884766
2013-09-10,56.87789535522461
2013-09-11,57.57292175292969
2013-09-12,57.48494338989258
2013-09-13,57.40578079223633
2013-09-16,57.4145736694336
2013-09-17,57.515743255615234
2013-09-18,57.69170379638672
2013-09-19,57.8896369934082
2013-09-20,57.3969612121582
2013-09-23,57.11984252929688
2013-09-24,57.185829162597656
2013-09-25,57.21221923828125
2013-09-26,58.21078109741211
