Date,MNST
2013-01-02,9.03833293914795
2013-01-03,8.701666831970215
2013-01-04,8.648332595825195
2013-01-07,8.34333324432373
2013-01-08,8.454999923706055
2013-01-09,8.388333320617676
2013-01-10,8.126667022705078
2013-01-11,8.486666679382324
2013-01-14,8.46166706085205
2013-01-15,8.508333206176758
2013-01-16,8.425000190734863
2013-01-17,8.30666732788086
2013-01-18,7.96999979019165
2013-01-22,8.09000015258789
2013-01-23,8.010000228881836
2013-01-24,7.87833309173584
2013-01-25,7.784999847412109
2013-01-28,7.908332824707031
2013-01-29,7.873332977294922
2013-01-30,8.029999732971191
2013-01-31,7.983333110809326
2013-02-01,7.941667079925537
2013-02-04,7.933332920074463
2013-02-05,8.055000305175781
2013-02-06,8.241666793823242
2013-02-07,8.024999618530273
2013-02-08,7.806666851043701
2013-02-11,7.908332824707031
2013-02-12,7.793333053588867
2013-02-13,7.948332786560059
2013-02-14,7.948332786560059
2013-02-15,8.513333320617676
2013-02-19,8.279999732971191
2013-02-20,8.444999694824219
2013-02-21,8.293333053588867
2013-02-22,8.448332786560059
2013-02-25,8.273332595825195
2013-02-26,8.158332824707031
2013-02-27,8.270000457763672
2013-02-28,8.40999984741211
2013-03-01,8.44333267211914
2013-03-04,8.301667213439941
2013-03-05,8.175000190734863
2013-03-06,8.113332748413086
2013-03-07,7.9583330154418945
2013-03-08,7.889999866485596
2013-03-11,7.84833288192749
2013-03-12,7.698332786560059
2013-03-13,7.84833288192749
2013-03-14,7.855000019073486
2013-03-15,8.063332557678223
2013-03-18,8.020000457763672
2013-03-19,8.286666870117188
2013-03-20,8.5
2013-03-21,8.391667366027832
2013-03-22,8.083333015441895
2013-03-25,8.063332557678223
2013-03-26,8.138333320617676
2013-03-27,8.001667022705078
2013-03-28,7.956666946411133
2013-04-01,7.943333148956299
2013-04-02,8.101667404174805
2013-04-03,8.046667098999023
2013-04-04,8.380000114440918
2013-04-05,8.279999732971191
2013-04-08,8.668333053588867
2013-04-09,8.778332710266113
2013-04-10,9.131667137145996
2013-04-11,9.3100004196167
2013-04-12,9.458333015441896
2013-04-15,9.220000267028809
2013-04-16,9.414999961853027
2013-04-17,9.279999732971191
2013-04-18,9.203332901000977
2013-04-19,9.28499984741211
2013-04-22,9.265000343322754
2013-04-23,9.44833278656006
2013-04-24,9.581666946411133
2013-04-25,9.476667404174805
2013-04-26,9.44166660308838
2013-04-29,9.416666984558104
2013-04-30,9.399999618530272
2013-05-01,9.31999969482422
2013-05-02,9.25
2013-05-03,9.57333278656006
2013-05-06,9.363332748413086
2013-05-07,9.524999618530272
2013-05-08,9.494999885559082
2013-05-09,9.001667022705078
2013-05-10,9.03833293914795
2013-05-13,8.971667289733887
2013-05-14,9.403332710266112
2013-05-15,9.633333206176758
2013-05-16,9.53499984741211
2013-05-17,9.484999656677246
2013-05-20,9.37833309173584
2013-05-21,9.404999732971191
2013-05-22,9.479999542236328
2013-05-23,9.458333015441896
2013-05-24,9.31833267211914
2013-05-28,9.248332977294922
2013-05-29,9.145000457763672
2013-05-30,9.136667251586914
2013-05-31,9.098333358764648
2013-06-03,8.993332862854004
2013-06-04,9.93333339691162
2013-06-05,9.770000457763672
2013-06-06,9.956666946411133
2013-06-07,10.270000457763672
2013-06-10,10.366666793823242
2013-06-11,10.228333473205566
2013-06-12,10.31666660308838
2013-06-13,10.333333015441896
2013-06-14,9.876667022705078
2013-06-17,9.9350004196167
2013-06-18,9.938332557678224
2013-06-19,9.726667404174805
2013-06-20,9.34000015258789
2013-06-21,9.369999885559082
2013-06-24,9.470000267028809
2013-06-25,9.533332824707031
2013-06-26,9.625
2013-06-27,9.94166660308838
2013-06-28,10.138333320617676
2013-07-01,10.136667251586914
2013-07-02,10.06666660308838
2013-07-03,10.041666984558104
2013-07-05,10.098333358764648
2013-07-08,10.103333473205566
2013-07-09,9.963333129882812
2013-07-10,9.93333339691162
2013-07-11,10.074999809265137
2013-07-12,9.976667404174805
2013-07-15,10.133333206176758
2013-07-16,10.104999542236328
2013-07-17,10.453332901000977
2013-07-18,10.543333053588867
2013-07-19,10.5649995803833
2013-07-22,10.771666526794434
2013-07-23,10.774999618530272
2013-07-24,10.53833293914795
2013-07-25,10.550000190734863
2013-07-26,10.479999542236328
2013-07-29,10.101667404174805
2013-07-30,10.045000076293944
2013-07-31,10.164999961853027
2013-08-01,10.420000076293944
2013-08-02,10.561667442321776
2013-08-05,10.57333278656006
2013-08-06,10.49666690826416
2013-08-07,10.40999984741211
2013-08-08,10.578332901000977
2013-08-09,10.616666793823242
2013-08-12,10.460000038146973
2013-08-13,10.300000190734863
2013-08-14,10.095000267028809
2013-08-15,9.763333320617676
2013-08-16,9.706666946411133
2013-08-19,9.851667404174805
2013-08-20,9.873332977294922
2013-08-21,9.831666946411133
2013-08-22,10.015000343322754
2013-08-23,9.93333339691162
2013-08-26,9.831666946411133
2013-08-27,9.66333293914795
2013-08-28,9.609999656677246
2013-08-29,9.49666690826416
2013-08-30,9.5649995803833
2013-09-03,9.00333309173584
2013-09-04,9.341667175292969
2013-09-05,9.356666564941406
2013-09-06,9.208333015441896
2013-09-09,9.369999885559082
2013-09-10,9.338333129882812
2013-09-11,9.25333309173584
2013-09-12,9.18333339691162
2013-09-13,9.175000190734863
2013-09-16,9.291666984558104
2013-09-17,9.505000114440918
2013-09-18,9.671667098999023
2013-09-19,9.361666679382324
2013-09-20,9.31666660308838
2013-09-23,9.143333435058594
2013-09-24,9.123332977294922
2013-09-25,9.05666732788086
2013-09-26,8.928333282470703
