Date,ISRG
2013-01-02,55.27999877929688
2013-01-03,55.96333312988281
2013-01-04,55.58666610717773
2013-01-07,55.77777862548828
2013-01-08,56.04777908325195
2013-01-09,56.3033332824707
2013-01-10,56.54111099243164
2013-01-11,56.22222137451172
2013-01-14,56.96888732910156
2013-01-15,55.95444488525391
2013-01-16,55.38888931274414
2013-01-17,57.133331298828125
2013-01-18,56.48110961914063
2013-01-22,57.61000061035156
2013-01-23,63.00666809082031
2013-01-24,64.55555725097656
2013-01-25,64.20222473144531
2013-01-28,64.21444702148438
2013-01-29,63.82555770874024
2013-01-30,63.66666793823242
2013-01-31,63.81999969482422
2013-02-01,64.85221862792969
2013-02-04,63.73444366455078
2013-02-05,63.73444366455078
2013-02-06,63.54222106933594
2013-02-07,63.369998931884766
2013-02-08,64.30555725097656
2013-02-11,63.502220153808594
2013-02-12,63.48777770996094
2013-02-13,63.74444580078125
2013-02-14,63.473331451416016
2013-02-15,63.24555587768555
2013-02-19,64.69667053222656
2013-02-20,61.869998931884766
2013-02-21,62.36111068725586
2013-02-22,63.78333282470703
2013-02-25,62.926666259765625
2013-02-26,63.195556640625
2013-02-27,63.72444534301758
2013-02-28,56.65444564819336
2013-03-01,61.488887786865234
2013-03-04,60.14666748046875
2013-03-05,58.413333892822266
2013-03-06,57.75333404541016
2013-03-07,57.02000045776367
2013-03-08,57.18111038208008
2013-03-11,57.41777801513672
2013-03-12,56.99111175537109
2013-03-13,56.59222030639648
2013-03-14,54.432220458984375
2013-03-15,51.04888916015625
2013-03-18,53.9466667175293
2013-03-19,53.63111114501953
2013-03-20,55.0966682434082
2013-03-21,54.08777618408203
2013-03-22,54.37666702270508
2013-03-25,54.26666641235352
2013-03-26,55.25
2013-03-27,54.50333404541016
2013-03-28,54.57666778564453
2013-04-01,53.84222030639648
2013-04-02,54.53333282470703
2013-04-03,55.38777923583984
2013-04-04,55.182220458984375
2013-04-05,54.44111251831055
2013-04-08,54.88888931274414
2013-04-09,55.16999816894531
2013-04-10,55.42555618286133
2013-04-11,56.95222091674805
2013-04-12,56.89444351196289
2013-04-15,56.665557861328125
2013-04-16,56.70888900756836
2013-04-17,56.40444564819336
2013-04-18,54.81888961791992
2013-04-19,53.86111068725586
2013-04-22,52.76333236694336
2013-04-23,52.34111022949219
2013-04-24,52.98666763305664
2013-04-25,53.75555419921875
2013-04-26,54.08444213867188
2013-04-29,54.351112365722656
2013-04-30,54.69889068603516
2013-05-01,54.46222305297852
2013-05-02,54.6511116027832
2013-05-03,55.97999954223633
2013-05-06,55.73110961914063
2013-05-07,54.45222091674805
2013-05-08,54.36777877807617
2013-05-09,56.20000076293945
2013-05-10,55.50777816772461
2013-05-13,53.96555709838867
2013-05-14,54.19222259521485
2013-05-15,53.82222366333008
2013-05-16,52.913333892822266
2013-05-17,53.77777862548828
2013-05-20,53.268890380859375
2013-05-21,53.98666763305664
2013-05-22,52.25555419921875
2013-05-23,53.16222381591797
2013-05-24,55.72555541992188
2013-05-28,55.73777770996094
2013-05-29,55.38888931274414
2013-05-30,56.07555770874024
2013-05-31,55.28111267089844
2013-06-03,55.58111190795898
2013-06-04,55.398887634277344
2013-06-05,55.61555480957031
2013-06-06,56.37888717651367
2013-06-07,57.054443359375
2013-06-10,56.68999862670898
2013-06-11,55.50777816772461
2013-06-12,55.04888916015625
2013-06-13,56.05555725097656
2013-06-14,55.36777877807617
2013-06-17,55.47999954223633
2013-06-18,56.62333297729492
2013-06-19,56.66666793823242
2013-06-20,55.27888870239258
2013-06-21,55.87555694580078
2013-06-24,56.018890380859375
2013-06-25,55.74444580078125
2013-06-26,55.988887786865234
2013-06-27,55.79888916015625
2013-06-28,56.23666763305664
2013-07-01,55.72777938842773
2013-07-02,55.68777847290039
2013-07-03,55.524444580078125
2013-07-05,56.0011100769043
2013-07-08,55.56444549560547
2013-07-09,46.5888900756836
2013-07-10,46.96444320678711
2013-07-11,47.77777862548828
2013-07-12,47.67111206054688
2013-07-15,47.41999816894531
2013-07-16,46.9033317565918
2013-07-17,46.17111206054688
2013-07-18,46.83000183105469
2013-07-19,43.630001068115234
2013-07-22,43.9900016784668
2013-07-23,43.8466682434082
2013-07-24,42.66222381591797
2013-07-25,41.70333480834961
2013-07-26,42.47666549682617
2013-07-29,43.44444274902344
2013-07-30,42.86888885498047
2013-07-31,43.11111068725586
2013-08-01,43.606666564941406
2013-08-02,43.738887786865234
2013-08-05,43.73666763305664
2013-08-06,43.65888977050781
2013-08-07,43.32666778564453
2013-08-08,43.8466682434082
2013-08-09,43.54111099243164
2013-08-12,43.17555618286133
2013-08-13,42.84444427490234
2013-08-14,42.88222122192383
2013-08-15,42.63666534423828
2013-08-16,42.03666687011719
2013-08-19,42.772220611572266
2013-08-20,42.82777786254883
2013-08-21,42.988887786865234
2013-08-22,43.3488883972168
2013-08-23,43.34333419799805
2013-08-26,43.52111053466797
2013-08-27,42.913333892822266
2013-08-28,43.04888916015625
2013-08-29,42.73333358764648
2013-08-30,42.9466667175293
2013-09-03,42.79666519165039
2013-09-04,43.03555679321289
2013-09-05,42.71555709838867
2013-09-06,42.74333190917969
2013-09-09,42.76666641235352
2013-09-10,41.885555267333984
2013-09-11,41.83333206176758
2013-09-12,41.40888977050781
2013-09-13,41.66666793823242
2013-09-16,41.674442291259766
2013-09-17,41.55110931396485
2013-09-18,41.38888931274414
2013-09-19,41.10889053344727
2013-09-20,41.63222122192383
2013-09-23,41.20333480834961
2013-09-24,40.432220458984375
2013-09-25,40.81222152709961
2013-09-26,40.932220458984375
